date;WorkType;Hours;SystemHours;Quantity;SystemKPI
2019-07-01;203;40,2;19,720555;84443;4281,978879
2019-07-01;206;251,9;108,213611;1049;9,69379
2019-07-01;202;16;15,108611;2106;139,390709
2019-07-01;211;48,76;24,848333;2413;97,10913
2019-07-01;213;30,01;0,116666;15;128,572163
2019-07-01;209;49,62;63,028333;17324;274,860513
2019-07-01;210;62,02;63,028333;17324;274,860513
2019-07-01;215;54,97;53,691388;12498;232,77476
2019-07-01;214;64,4;46,749444;33438;715,259843
2019-07-02;215;46,58;41,981388;10618;252,921604
2019-07-02;210;37,15;45,037222;12515;277,88126
2019-07-02;214;60,7;37,734444;29217;774,279329
2019-07-02;202;16;13,294722;1693;127,343768
2019-07-02;213;60,63;0,119444;20;167,442484
2019-07-02;209;70,52;45,037222;12515;277,88126
2019-07-02;211;74,85;25,684722;4796;186,725789
2019-07-02;206;243,87;136,735;1095;8,008191
2019-07-02;203;45,3;30,175555;110339;3656,569034
2019-07-03;202;16;15,665277;2873;183,399246
2019-07-03;203;44,1;28,853611;32083;1111,923218
2019-07-03;213;45,28;0,056944;17;298,538915
2019-07-03;209;65,02;67,584722;25109;371,518876
2019-07-03;210;49,3;67,261111;18312;272,252416
2019-07-03;214;58,37;41,465277;37104;894,820984
2019-07-03;215;55,93;56,579166;15369;271,637089
2019-07-03;206;242,83;168,9475;1094;6,475384
2019-07-03;211;102,4;37,046944;4422;119,362072
2019-07-04;209;40,12;35,457222;11277;318,04522
2019-07-04;203;34,2;18,816111;68720;3652,189339
2019-07-04;206;227;123,256111;855;6,936776
2019-07-04;210;46,9;35,457222;11277;318,04522
2019-07-04;213;20,91;0,008055;8;993,171943
2019-07-04;217;64;5,0775;1319;259,77351
2019-07-04;202;15,5;14,195;2472;174,145825
2019-07-04;215;33,3;37,142222;9423;253,700492
2019-07-04;211;73,37;31,783333;7269;228,704774
2019-07-04;214;56,45;31,639444;45883;1450,183511
2019-07-05;217;48;0,466111;58;124,433879
2019-07-05;206;108,97;39,269722;332;8,454351
2019-07-05;211;78,3;22,431944;6643;296,140182
2019-07-05;210;58,69;53,591111;14922;278,441699
2019-07-05;209;53,32;53,771111;21693;403,432244
2019-07-05;213;17,47;0,101111;15;148,351811
2019-07-05;203;32,3;16,377222;14312;873,896684
2019-07-05;214;47,78;29,167777;30301;1038,85188
2019-07-05;215;34,21;39,546666;9019;228,05968
2019-07-05;202;12,2;7,213055;883;122,416923
2019-07-07;206;73,1;30,263333;470;15,530345
2019-07-08;202;16;15,300277;2004;130,97802
2019-07-08;215;64,79;55,6625;15956;286,656186
2019-07-08;214;36,45;13,891111;15109;1087,67398
2019-07-08;213;33,16;0,07;11;157,142857
2019-07-08;210;65,79;57,598888;19909;345,649034
2019-07-08;211;73,39;39,126111;5756;147,114033
2019-07-08;209;79,29;57,717777;25674;444,819626
2019-07-08;206;192,8;90,648055;816;9,001848
2019-07-08;203;32;23,801111;70543;2963,853241
2019-07-09;206;169,3;107,479722;824;7,666562
2019-07-09;214;48,55;44,941944;40353;897,891733
2019-07-09;211;77,19;24,314444;4657;191,532243
2019-07-09;203;32,3;22,256666;159214;7153,542224
2019-07-09;215;55;42,810833;11252;262,830671
2019-07-09;213;64,19;0,076944;10;129,96465
2019-07-09;210;51,04;44,914166;13016;289,79721
2019-07-09;209;58,61;44,914166;13016;289,79721
2019-07-09;202;13,8;13,234166;2876;217,3163
2019-07-10;203;33,3;22,042777;59856;2715,447332
2019-07-10;206;196,8;108,365555;893;8,240626
2019-07-10;215;49,22;39,534166;10660;269,640189
2019-07-10;213;69,26;0,083888;7;83,444593
2019-07-10;211;91,26;48,682222;6314;129,69827
2019-07-10;210;81,43;73,016111;23759;325,393939
2019-07-10;209;89,76;73,037777;25471;348,737339
2019-07-10;202;15,1;15,781388;1554;98,470426
2019-07-10;214;70,63;44,996111;79354;1763,574634
2019-07-11;211;130,56;85,900277;17457;203,224024
2019-07-11;210;77,95;90,234444;24564;272,224207
2019-07-11;214;46,93;19,462222;13421;689,59238
2019-07-11;203;35,3;26,333611;176755;6712,144414
